index,taskId,taskName,score,performanceClass,startedAt,OTR/acc,avgTimeOn/rt,avgTimeOff/targets,maxTimeOn/shots,maxTimeOff/kps,miss/killTotal,participantId,category
11,12,switchtrack,72477,TrackData,2024-04-11T13:48:06,32.0,148.774216,272.0,312.193451,880.000366,2002.0,,
13,14,strafetrack,61416,TrackData,2024-04-11T13:50:30,50.0,232.520355,1336.00122,230.774139,776.0001,2598.0,,
14,15,microshot,61728,SparData,2024-04-11T13:52:38,84.97409,362.7176378761852,164.0,193.0,2.7374692,164.0,,
15,16,gridshot,61090,SparData,2024-04-11T13:55:05,85.39823,303.5931755026387,196.0,226.0,3.22172713,193.0,,
17,18,microshot,13204,SparData,2024-04-11T14:00:01,88.46153,1133.3880192683293,52.0,52.0,0.7677937,46.0,,
18,19,strafetrack,22381,TrackData,2024-04-11T14:01:53,27.0000019,153.28,1336.00122,410.159943,1976.00256,4224.0,,
19,20,switchtrack,21311,TrackData,2024-04-11T14:03:03,15.000001,91.51649,287.999969,542.5053,4351.97266,5172.0,,
20,21,gridshot,18982,SparData,2024-04-11T14:04:12,91.13924,809.2941890292699,75.0,79.0,1.20183027,72.0,,
21,22,strafetrack,17599,TrackData,2024-04-11T14:07:18,23.0,155.858826,1168.001,508.1412,2056.002,4427.0,,
22,23,microshot,10606,SparData,2024-04-11T14:08:30,78.0,1183.6410888671878,50.0,50.0,0.6509705,39.0,,
23,24,gridshot,11714,SparData,2024-04-11T14:09:47,87.27273,1220.8494224548335,51.0,55.0,0.8012057,48.0,,
24,25,switchtrack,16126,TrackData,2024-04-11T14:11:00,13.0,86.8860855,232.000031,636.152039,2711.99341,4570.0,,
