taskId,taskName,score,performanceClass,startedAt,OTR/acc,avgTimeOn/rt,avgTimeOff/targets,maxTimeOn/shots,maxTimeOff/kps,miss/killTotal,participantId,category
27,switchtrack,51986,TrackData,2024-04-09T14:06:38,26,103.5493,343.999878,298.028137,1120.00085,2674,0,MK
28,microshot,41387,SparData,2024-04-09T14:07:52,91.26984,513.8133453,116,126,1.919631,115,0,MK
29,gridshot,49439,SparData,2024-04-09T14:09:36,94.51219,380.2907838,158,164,2.58738923,155,0,MK
30,strafetrack,36145,TrackData,2024-04-09T14:10:46,36,161.250031,1392.00134,286.437439,968.000549,3634,0,MK
31,gridshot,23658,SparData,2024-04-09T14:12:07,94.44444,694.93831,88,90,1.4189384,85,0,CW
32,switchtrack,27302,TrackData,2024-04-09T14:13:24,18,108.043968,232.000031,519.472656,2016.00244,2236,0,CW
33,strafetrack,17955,TrackData,2024-04-09T14:14:34,24,130.352936,623.9998,431.529419,1504.00159,4472,0,CW
34,microshot,22970,SparData,2024-04-09T14:15:42,94.6666641,808.7841999,74,75,1.1852349,71,0,CW
35,switchtrack,20175,TrackData,2024-04-09T14:17:29,15.000001,98.04879,232.000031,602.5368,2223.99976,2878,0,CWO
36,strafetrack,15299,TrackData,2024-04-09T14:19:35,21,122.2857,487.9996,456.244934,2184.00024,4513,0,CWO
37,gridshot,27399,SparData,2024-04-09T14:20:44,95.9595947,621.0290434,98,99,1.58579314,95,0,CWO
38,microshot,20690,SparData,2024-04-09T14:21:55,84.81013,817.2962724,74,79,1.11838448,67,0,CWO
39,strafetrack,39497,TrackData,2024-04-09T14:23:17,38,147.428558,1232.0011,237.387711,1064.00073,3584,1,MK
40,microshot,49133,SparData,2024-04-09T14:24:27,93.571434,456.5096671,132,140,2.186756,131,1,MK
41,switchtrack,55058,TrackData,2024-04-09T14:25:36,27.0000019,117.6794,303.999939,319.389221,1080.00073,1840,1,MK
42,gridshot,51579,SparData,2024-04-09T14:26:44,89.617485,357.3745835,167,183,2.73771238,164,1,MK
43,switchtrack,24494,TrackData,2024-04-09T14:28:14,16,101.511116,256,531.289063,1840.00232,2796,1,CWO
44,gridshot,27544,SparData,2024-04-09T14:29:25,89.0909042,601.8842328,101,110,1.63591015,98,1,CWO
45,microshot,21584,SparData,2024-04-09T14:30:37,82.35294,785.2722555,76,85,1.1684916,70,1,CWO
46,strafetrack,25654,TrackData,2024-04-09T14:31:45,29,146.0351,1336.00122,354.947327,2184.00024,3805,1,CWO
47,gridshot,29997,SparData,2024-04-09T14:33:13,92.0354,566.7373863,107,113,1.736013,104,1,CW
48,switchtrack,30263,TrackData,2024-04-09T14:34:24,19,109.500008,232.000031,490.500061,1632.00183,2576,1,CW
49,strafetrack,13584,TrackData,2024-04-09T14:35:38,20,102.86792,679.999939,436.56073,1608.00183,4787,1,CW
50,microshot,22632,SparData,2024-04-09T14:36:47,79.56989,755.5403802,80,93,1.23531246,74,1,CW
51,microshot,22630,SparData,2024-04-09T14:38:08,93.42105,809.3201781,74,76,1.18514442,71,2,MK
52,gridshot,21555,SparData,2024-04-09T14:39:21,96.34146,752.0849725,82,82,1.31868649,79,2,MK
53,switchtrack,28276,TrackData,2024-04-09T14:40:36,18,112.000008,287.999969,517.244568,2335.99829,2678,2,MK
54,strafetrack,22790,TrackData,2024-04-09T14:41:45,27.0000019,135.228088,1336.00122,371.85965,2383.99756,3776,2,MK
55,switchtrack,15362,TrackData,2024-04-09T14:42:56,12,101.9394,232.000031,759.5154,2551.99561,3214,2,CW
56,gridshot,15465,SparData,2024-04-09T14:44:06,96.82539,975.1751844,64,63,1.01825833,61,2,CW
57,microshot,13924,SparData,2024-04-09T14:45:27,73.61111,1024.981474,58,72,0.884684741,53,2,CW
58,strafetrack,15609,TrackData,2024-04-09T14:46:39,22,115.352379,647.9999,433.980957,1872.00232,4430,2,CW
59,microshot,13942,SparData,2024-04-09T14:48:11,64.36782,985.8666552,60,87,0.9347771,56,2,CWO
60,strafetrack,20452,TrackData,2024-04-09T14:49:23,26,150.416656,1200.001,447.422638,1488.00159,4154,2,CWO
61,gridshot,15791,SparData,2024-04-09T14:50:36,95.38461,949.836113,65,65,1.03494847,62,2,CWO
62,switchtrack,16796,TrackData,2024-04-09T14:51:53,13,89.2151947,232.000031,624.304138,2024.00232,2582,2,CWO
63,microshot,48667,SparData,2024-04-09T14:53:16,89.1891861,445.5823435,134,148,2.20353127,132,3,MK
64,strafetrack,37859,TrackData,2024-04-09T14:54:24,37,146.166656,687.999939,249.379257,864.0003,3827,3,MK
65,switchtrack,55944,TrackData,2024-04-09T14:55:32,28,101.157906,232.000031,273.210449,864.0003,2174,3,MK
66,gridshot,53487,SparData,2024-04-09T14:56:40,89.8936157,349.2085434,172,188,2.821052,169,3,MK
67,microshot,22869,SparData,2024-04-09T14:57:51,76.76768,738.5739045,82,99,1.2686764,76,3,CWO
68,switchtrack,29261,TrackData,2024-04-09T14:59:06,18,97.14287,232.000031,443.1239,1784.0022,2350,3,CWO
69,strafetrack,19452,TrackData,2024-04-09T15:00:19,25,118.358963,591.999756,362.9401,1376.00134,4455,3,CWO
70,gridshot,29387,SparData,2024-04-09T15:01:27,88.1356,571.0562683,107,118,1.73604453,104,3,CWO
71,gridshot,30960,SparData,2024-04-09T15:02:52,88.52459,549.1061921,111,122,1.80276716,108,3,CW
72,microshot,25210,SparData,2024-04-09T15:04:01,81.63265,709.8840401,84,98,1.335387,80,3,CW
73,strafetrack,19546,TrackData,2024-04-09T15:05:10,25,131.924515,567.9997,405.6603,1248.0011,4606,3,CW
74,switchtrack,32312,TrackData,2024-04-09T15:06:17,20,104.000008,232.000031,440.981171,1624.00183,2366,3,CW
75,strafetrack,51564,TrackData,2024-04-09T17:18:08,45,188.204376,1120.00085,229.5474,968.000549,3296,4,MK
76,gridshot,53956,SparData,2024-04-09T17:19:18,87.7551041,343.7868427,175,196,2.87112355,172,4,MK
77,switchtrack,53671,TrackData,2024-04-09T17:20:32,27.0000019,115.664131,455.999664,319.26712,944.0005,2600,4,MK
78,microshot,53374,SparData,2024-04-09T17:21:39,90.44586,420.4444466,142,157,2.37031579,142,4,MK
79,strafetrack,24219,TrackData,2024-04-09T17:23:03,28,146.545456,1088.00073,374.836273,2703.99365,3595,4,CW
80,gridshot,27382,SparData,2024-04-09T17:24:17,84.0336151,590.551568,103,119,1.66931176,100,4,CW
81,microshot,23772,SparData,2024-04-09T17:25:26,90.2439,786.6114365,76,82,1.23522711,74,4,CW
82,switchtrack,31281,TrackData,2024-04-09T17:26:40,19,112.000008,232.000031,482.000031,2535.99561,1554,4,CW
83,gridshot,27078,SparData,2024-04-09T17:28:11,81.96721,591.8129857,103,122,1.669286,100,4,CWO
84,switchtrack,30263,TrackData,2024-04-09T17:29:22,19,103.683174,232.000031,464.950562,1848.00232,2638,4,CWO
85,strafetrack,19121,TrackData,2024-04-09T17:30:30,25,123.499985,856.0003,386.785645,1352.00134,4348,4,CWO
86,microshot,24441,SparData,2024-04-09T17:31:37,81.4433,747.1958355,82,97,1.3186928,79,4,CWO
87,gridshot,37111,SparData,2024-04-09T17:34:26,79.87805,452.0496196,134,164,2.18666053,131,4,MK
88,switchtrack,43394,TrackData,2024-04-09T17:35:34,24,85.1579,240.000031,290.526276,1072.00073,3038,4,MK
89,strafetrack,37171,TrackData,2024-04-09T17:36:42,37,141.027039,1336.00122,245.621567,872.000366,3430,4,MK
90,microshot,39856,SparData,2024-04-09T17:37:56,88.28125,523.4696068,114,128,1.88623881,113,5,MK
91,strafetrack,14130,TrackData,2024-04-09T17:39:05,20,110.588234,952.0005,455.921539,1560.00171,5197,5,CWO
92,gridshot,18588,SparData,2024-04-09T17:40:19,82.22222,792.7040059,77,90,1.23523736,74,5,CWO
93,microshot,16822,SparData,2024-04-09T17:41:28,80.55556,901.5812919,66,72,0.9681971,58,5,CWO
94,switchtrack,18395,TrackData,2024-04-09T17:42:35,14,71.2233047,232.000031,474.951538,1464.00159,4328,5,CWO
95,microshot,20013,SparData,2024-04-09T17:44:09,87.83784,850.4836036,70,74,1.08503675,65,5,CW
96,strafetrack,21438,TrackData,2024-04-09T17:45:17,26,167.377762,952.0005,474.222229,2088.00146,4385,5,CW
97,gridshot,21424,SparData,2024-04-09T17:46:28,92.94118,748.7753649,82,85,1.3186729,79,5,CW
98,switchtrack,18394,TrackData,2024-04-09T17:47:36,14,79.74194,232.000031,515.785034,2064.00171,3872,5,CW
99,strafetrack,42655,TrackData,2024-04-09T18:58:51,40,185.806458,1176.001,276.967682,1288.00122,3258,5,MK
100,gridshot,39125,SparData,2024-04-09T19:00:00,86.27451,447.173856,135,153,2.203462,132,5,MK
101,microshot,40425,SparData,2024-04-09T19:01:12,87.1212158,517.6120952,116,132,1.9197098,115,5,MK
102,switchtrack,43393,TrackData,2024-04-09T19:02:23,24,109.0248,319.9999,361.851166,896.000366,2710,5,MK
103,gridshot,19966,SparData,2024-04-09T19:03:50,93.67088,800.6064307,77,79,1.23521149,74,5,CW
104,strafetrack,16701,TrackData,2024-04-09T19:05:03,22,168.8421,816.000244,588.000061,1768.0022,4848,5,CW
105,microshot,25316,SparData,2024-04-09T19:06:12,82.47423,702.6380861,86,97,1.33544481,80,5,CW
106,switchtrack,26615,TrackData,2024-04-09T19:07:23,17,174.456146,471.999634,832.69,2375.9978,2058,5,CW
107,microshot,27534,SparData,2024-04-09T19:08:50,84.15842,669.2198042,90,101,1.41886961,85,5,CWO
108,switchtrack,18605,TrackData,2024-04-09T19:10:02,14,198.400024,232.000031,1225.60059,2455.99683,2078,5,CWO
109,strafetrack,9702,TrackData,2024-04-09T19:11:10,16,186.28569,824.000244,986.285645,3311.98584,4563,5,CWO
110,gridshot,21134,SparData,2024-04-09T19:12:22,87.77778,749.9571516,82,90,1.31877255,79,5,CWO
111,switchtrack,58486,TrackData,2024-04-09T19:13:57,28,117.294128,279.999969,302.117554,872.000366,2392,6,MK
112,gridshot,55638,SparData,2024-04-09T19:15:07,92.02127,341.3030279,176,188,2.88772416,173,6,MK
113,microshot,56872,SparData,2024-04-09T19:16:18,94.83871,406.5644177,148,155,2.45380163,147,6,MK
114,strafetrack,55067,TrackData,2024-04-09T19:17:29,47,199.88147,1136.00085,223.941147,768.0001,2902,6,MK
115,switchtrack,25402,TrackData,2024-04-09T19:18:45,17,116.444458,232.000031,590.0249,1992.00256,1826,6,CWO
116,microshot,27293,SparData,2024-04-09T19:19:54,79.62963,657.1988183,90,108,1.435568,86,6,CWO
117,gridshot,34228,SparData,2024-04-09T19:21:02,90.625,510.1415787,119,128,1.93639469,116,6,CWO
118,strafetrack,20991,TrackData,2024-04-09T19:22:14,26,147.28,1000.00061,422.811859,1344.00134,3847,6,CWO
119,microshot,22777,SparData,2024-04-09T19:23:42,71.55963,725.5421894,84,109,1.30202806,78,6,CW
