taskId,taskName,score,performanceClass,performance,startedAt,OTR/acc,avgTimeOn/rt,avgTimeOff/targets,maxTimeOn/shots,maxTimeOff/kps,miss/killTotal,participantId,category
12,switchtrack,72477,TrackData,"{'ValueMap': ['OTR', 'avgTimeOn', 'avgTimeOff', 'maxTimeOn', 'maxTimeOff'], 'OTR': 32.0, 'avgTimeOn': 148.774216, 'maxTimeOn': 272.0, 'avgTimeOff': 312.193451, 'maxTimeOff': 880.000366, 'missUp': 86, 'missUpLeft': 384, 'missUpRight': 116, 'missLeft': 490, 'missRight': 548, 'missDown': 120, 'missDownLeft': 52, 'missDownRight': 206}",2024-04-11T13:48:06,32.0,148.774216,272.0,312.193451,880.000366,86,,
14,strafetrack,61416,TrackData,"{'ValueMap': ['OTR', 'avgTimeOn', 'avgTimeOff', 'maxTimeOn', 'maxTimeOff'], 'OTR': 50.0, 'avgTimeOn': 232.520355, 'maxTimeOn': 1336.00122, 'avgTimeOff': 230.774139, 'maxTimeOff': 776.0001, 'missUp': 0, 'missUpLeft': 21, 'missUpRight': 25, 'missLeft': 1447, 'missRight': 1095, 'missDown': 0, 'missDownLeft': 8, 'missDownRight': 2}",2024-04-11T13:50:30,50.0,232.520355,1336.00122,230.774139,776.0001,0,,
15,microshot,61728,SparData,"{'accB': [100.0, 85.0, 84.0, 84.0, 90.0, 75.0, 80.0, 82.0], 'rtB': [309.46899812117863, 350.8048626443615, 383.42933400472003, 339.0768454415458, 319.37597547258656, 417.08080800374347, 375.87625815651637, 406.7621138723273], 'ValueMap': ['accTotal', 'rtTotal', 'targetsTotal', 'shotsTotal', 'killsPerSec', 'killTotal'], 'accTotal': 84.97409, 'accB0': 100.0, 'accB1': 85.0, 'accB2': 84.0, 'accB3': 84.0, 'accB4': 90.0, 'accB5': 75.0, 'accB6': 80.0, 'accB7': 82.0, 'rtTotal': 362.7176378761852, 'rtB0': 309.46899812117863, 'rtB1': 350.8048626443615, 'rtB2': 383.42933400472003, 'rtB3': 339.0768454415458, 'rtB4': 319.37597547258656, 'rtB5': 417.08080800374347, 'rtB6': 375.87625815651637, 'rtB7': 406.7621138723273, 'targetsTotal': 164, 'shotsTotal': 193, 'killsPerSec': 2.7374692, 'killTotal': 164}",2024-04-11T13:52:38,84.97409,362.7176378761852,164.0,193.0,2.7374692,164,,
16,gridshot,61090,SparData,"{'accB': [85.0, 85.0, 84.0, 86.0, 100.0, 100.0, 50.0, 100.0], 'rtB': [313.33476458855387, 306.35346955519464, 318.2080604151676, 281.9751476908839, 267.8253479003906, 250.18965911865234, 469.51837158203125, 225.4031982421875], 'ValueMap': ['accTotal', 'rtTotal', 'targetsTotal', 'shotsTotal', 'killsPerSec', 'killTotal'], 'accTotal': 85.39823, 'accB0': 85.0, 'accB1': 85.0, 'accB2': 84.0, 'accB3': 86.0, 'accB4': 100.0, 'accB5': 100.0, 'accB6': 50.0, 'accB7': 100.0, 'rtTotal': 303.5931755026387, 'rtB0': 313.33476458855387, 'rtB1': 306.35346955519464, 'rtB2': 318.2080604151676, 'rtB3': 281.9751476908839, 'rtB4': 267.8253479003906, 'rtB5': 250.18965911865234, 'rtB6': 469.51837158203125, 'rtB7': 225.4031982421875, 'targetsTotal': 196, 'shotsTotal': 226, 'killsPerSec': 3.22172713, 'killTotal': 193}",2024-04-11T13:55:05,85.39823,303.5931755026387,196.0,226.0,3.22172713,193,,
18,microshot,13204,SparData,"{'accB': [83.0, 83.0, 100.0, 88.0, 75.0, 100.0, 100.0, 83.0], 'rtB': [1384.2375793457031, 591.455098470052, 1111.1170959472656, 1108.512565612793, 1066.3239920479912, 1483.7886614118304, 1132.6815999348958, 1170.7832153320312], 'ValueMap': ['accTotal', 'rtTotal', 'targetsTotal', 'shotsTotal', 'killsPerSec', 'killTotal'], 'accTotal': 88.46153, 'accB0': 83.0, 'accB1': 83.0, 'accB2': 100.0, 'accB3': 88.0, 'accB4': 75.0, 'accB5': 100.0, 'accB6': 100.0, 'accB7': 83.0, 'rtTotal': 1133.3880192683293, 'rtB0': 1384.2375793457031, 'rtB1': 591.455098470052, 'rtB2': 1111.1170959472656, 'rtB3': 1108.512565612793, 'rtB4': 1066.3239920479912, 'rtB5': 1483.7886614118304, 'rtB6': 1132.6815999348958, 'rtB7': 1170.7832153320312, 'targetsTotal': 52, 'shotsTotal': 52, 'killsPerSec': 0.7677937, 'killTotal': 46}",2024-04-11T14:00:01,88.46153,1133.3880192683293,52.0,52.0,0.7677937,46,,
19,strafetrack,22381,TrackData,"{'ValueMap': ['OTR', 'avgTimeOn', 'avgTimeOff', 'maxTimeOn', 'maxTimeOff'], 'OTR': 27.0000019, 'avgTimeOn': 153.28, 'maxTimeOn': 1336.00122, 'avgTimeOff': 410.159943, 'maxTimeOff': 1976.00256, 'missUp': 4, 'missUpLeft': 150, 'missUpRight': 44, 'missLeft': 1779, 'missRight': 2199, 'missDown': 3, 'missDownLeft': 14, 'missDownRight': 31}",2024-04-11T14:01:53,27.0000019,153.28,1336.00122,410.159943,1976.00256,4,,
20,switchtrack,21311,TrackData,"{'ValueMap': ['OTR', 'avgTimeOn', 'avgTimeOff', 'maxTimeOn', 'maxTimeOff'], 'OTR': 15.000001, 'avgTimeOn': 91.51649, 'maxTimeOn': 287.999969, 'avgTimeOff': 542.5053, 'maxTimeOff': 4351.97266, 'missUp': 176, 'missUpLeft': 412, 'missUpRight': 244, 'missLeft': 2218, 'missRight': 1182, 'missDown': 220, 'missDownLeft': 336, 'missDownRight': 384}",2024-04-11T14:03:03,15.000001,91.51649,287.999969,542.5053,4351.97266,176,,
21,gridshot,18982,SparData,"{'accB': [90.0, 90.0, 83.0, 100.0, 100.0, 100.0, 0.0, 100.0], 'rtB': [845.574695163303, 804.6260833740232, 842.7744771321615, 803.5754416329521, 712.7225189208984, 915.416748046875, '0', 604.1432800292969], 'ValueMap': ['accTotal', 'rtTotal', 'targetsTotal', 'shotsTotal', 'killsPerSec', 'killTotal'], 'accTotal': 91.13924, 'accB0': 90.0, 'accB1': 90.0, 'accB2': 83.0, 'accB3': 100.0, 'accB4': 100.0, 'accB5': 100.0, 'accB6': 0.0, 'accB7': 100.0, 'rtTotal': 809.2941890292699, 'rtB0': 845.574695163303, 'rtB1': 804.6260833740232, 'rtB2': 842.7744771321615, 'rtB3': 803.5754416329521, 'rtB4': 712.7225189208984, 'rtB5': 915.416748046875, 'rtB6': '0', 'rtB7': 604.1432800292969, 'targetsTotal': 75, 'shotsTotal': 79, 'killsPerSec': 1.20183027, 'killTotal': 72}",2024-04-11T14:04:12,91.13924,809.2941890292699,75.0,79.0,1.20183027,72,,
22,strafetrack,17599,TrackData,"{'ValueMap': ['OTR', 'avgTimeOn', 'avgTimeOff', 'maxTimeOn', 'maxTimeOff'], 'OTR': 23.0, 'avgTimeOn': 155.858826, 'maxTimeOn': 1168.001, 'avgTimeOff': 508.1412, 'maxTimeOff': 2056.002, 'missUp': 43, 'missUpLeft': 200, 'missUpRight': 103, 'missLeft': 1605, 'missRight': 2176, 'missDown': 12, 'missDownLeft': 128, 'missDownRight': 160}",2024-04-11T14:07:18,23.0,155.858826,1168.001,508.1412,2056.002,43,,
23,microshot,10606,SparData,"{'accB': [71.0, 80.0, 70.0, 83.0, 80.0, 100.0, 100.0, 67.0], 'rtB': [1233.5135498046875, 876.7944107055663, 1096.72709437779, 874.0533621651787, 1010.9633422851563, 1220.8936401367187, 1433.962451171875, 1901.4239908854165], 'ValueMap': ['accTotal', 'rtTotal', 'targetsTotal', 'shotsTotal', 'killsPerSec', 'killTotal'], 'accTotal': 78.0, 'accB0': 71.0, 'accB1': 80.0, 'accB2': 70.0, 'accB3': 83.0, 'accB4': 80.0, 'accB5': 100.0, 'accB6': 100.0, 'accB7': 67.0, 'rtTotal': 1183.6410888671878, 'rtB0': 1233.5135498046875, 'rtB1': 876.7944107055663, 'rtB2': 1096.72709437779, 'rtB3': 874.0533621651787, 'rtB4': 1010.9633422851563, 'rtB5': 1220.8936401367187, 'rtB6': 1433.962451171875, 'rtB7': 1901.4239908854165, 'targetsTotal': 50, 'shotsTotal': 50, 'killsPerSec': 0.6509705, 'killTotal': 39}",2024-04-11T14:08:30,78.0,1183.6410888671878,50.0,50.0,0.6509705,39,,
