taskId,taskName,score,performanceClass,startedAt,OTR/acc,avgTimeOn/rt,avgTimeOff/targets,maxTimeOn/shots,maxTimeOff/kps,miss/killTotal,participantId,category
27,switchtrack,51986,TrackData,2024-04-09T14:06:38,26.0,103.5493,343.999878,298.028137,1120.00085,3214.0,,
28,microshot,41387,SparData,2024-04-09T14:07:52,91.26984,513.8133452842976,116.0,126.0,1.919631,115.0,,
29,gridshot,49439,SparData,2024-04-09T14:09:36,94.51219,380.29078378985,158.0,164.0,2.58738923,155.0,,
30,strafetrack,36145,TrackData,2024-04-09T14:10:46,36.0,161.250031,1392.00134,286.437439,968.000549,3759.0,,
31,gridshot,23658,SparData,2024-04-09T14:12:07,94.44444,694.9383099724265,88.0,90.0,1.4189384,85.0,,
32,switchtrack,27302,TrackData,2024-04-09T14:13:24,18.0,108.043968,232.000031,519.472656,2016.00244,3464.0,,
33,strafetrack,17955,TrackData,2024-04-09T14:14:34,24.0,130.352936,623.9998,431.529419,1504.00159,4723.0,,
34,microshot,22970,SparData,2024-04-09T14:15:42,94.6666641,808.7841998950854,74.0,75.0,1.1852349,71.0,,
35,switchtrack,20175,TrackData,2024-04-09T14:17:29,15.000001,98.04879,232.000031,602.5368,2223.99976,4042.0,,
36,strafetrack,15299,TrackData,2024-04-09T14:19:35,21.0,122.2857,487.9996,456.244934,2184.00024,4840.0,,
37,gridshot,27399,SparData,2024-04-09T14:20:44,95.9595947,621.0290434184831,98.0,99.0,1.58579314,95.0,,
38,microshot,20690,SparData,2024-04-09T14:21:55,84.81013,817.2962723823443,74.0,79.0,1.11838448,67.0,,
39,strafetrack,39497,TrackData,2024-04-09T14:23:17,38.0,147.428558,1232.0011,237.387711,1064.00073,3719.0,,
40,microshot,49133,SparData,2024-04-09T14:24:27,93.571434,456.5096670835073,132.0,140.0,2.186756,131.0,,
41,switchtrack,55058,TrackData,2024-04-09T14:25:36,27.0000019,117.6794,303.999939,319.389221,1080.00073,2308.0,,
42,gridshot,51579,SparData,2024-04-09T14:26:44,89.617485,357.37458354670827,167.0,183.0,2.73771238,164.0,,
43,switchtrack,24494,TrackData,2024-04-09T14:28:14,16.0,101.511116,256.0,531.289063,1840.00232,4020.0,,
44,gridshot,27544,SparData,2024-04-09T14:29:25,89.0909042,601.884232812998,101.0,110.0,1.63591015,98.0,,
45,microshot,21584,SparData,2024-04-09T14:30:37,82.35294,785.2722555461685,76.0,85.0,1.1684916,70.0,,
46,strafetrack,25654,TrackData,2024-04-09T14:31:45,29.0,146.0351,1336.00122,354.947327,2184.00024,4141.0,,
47,gridshot,29997,SparData,2024-04-09T14:33:13,92.0354,566.7373862633334,107.0,113.0,1.736013,104.0,,
48,switchtrack,30263,TrackData,2024-04-09T14:34:24,19.0,109.500008,232.000031,490.500061,1632.00183,3578.0,,
49,strafetrack,13584,TrackData,2024-04-09T14:35:38,20.0,102.86792,679.999939,436.56073,1608.00183,5196.0,,
50,microshot,22632,SparData,2024-04-09T14:36:47,79.56989,755.5403801640379,80.0,93.0,1.23531246,74.0,,
51,microshot,22630,SparData,2024-04-09T14:38:08,93.42105,809.3201780576961,74.0,76.0,1.18514442,71.0,,
52,gridshot,21555,SparData,2024-04-09T14:39:21,96.34146,752.0849725264536,82.0,82.0,1.31868649,79.0,,
53,switchtrack,28276,TrackData,2024-04-09T14:40:36,18.0,112.000008,287.999969,517.244568,2335.99829,3212.0,,
54,strafetrack,22790,TrackData,2024-04-09T14:41:45,27.0000019,135.228088,1336.00122,371.85965,2383.99756,3963.0,,
55,switchtrack,15362,TrackData,2024-04-09T14:42:56,12.0,101.9394,232.000031,759.5154,2551.99561,4516.0,,
